Prefix,Course Title,Section,Class Number,Days & Times,Bldg & Room
ACCTG,230 Introduction to Financial Accounting,01,02395,"M,W10.35-11.50",VUB 121
ACCTG,230 Introduction to Financial Accounting,02,02424,"M,W12-13.15",VUB 121
ACCTG,231 Introduction to Managerial Accounting,01,02411,"M,W17.45-19",VUB 121
ACCTG,330 Intermediate Accounting I,01,02412,"TU,TH14.50-16.05",VUB 121
ACCTG,330 Intermediate Accounting I,02,13710,"TU,TH14.50-16.05",VUB 225
ACCTG,335 Taxation of Business Entities and Individuals,01,02397,"TU,TH16.15-17.30",VUB 125
ACCTG,433 [M] Accounting Systems and Auditing,01,02398,TH18-20.45,VUB 225
ACCTG,438 [M] Advanced Cost Accounting and Management,01,02437,M18-20.45,VUB 125
ACCTG,498 Accounting Internship,01,02425,ARRGT,ARR ARR
ANTH,130 [SSCI] Great Discoveries in Archaeology,01,13178,ARRGT,ARR ARR
ANTH,203 [DIVR] Global Cultural Diversity,01,02518,ARRGT,ARR ARR
ANTH,305 [SSCI] Anthropology of Epidemic Disease and Bioterrorism,01,02927,ARRGT,ARR ARR
ANTH,307 [DIVR] Contemporary Cultures and Peoples of Africa,01,02847,ARRGT,ARR ARR
ANTH,309 [SSCI] Cultural Ecology,01,13053,ARRGT,ARR ARR
ANTH,316 [DIVR] Gender in Cross Cultural Perspective,02,03134,ARRGT,ARR ARR
ANTH,381 [BSCI] Primate Behavioral Ecology,01,02848,ARRGT,ARR ARR
ANTH,390 [M] History of Anthropological Thought,01,03087,M11.10-14,VSCI 19
ANTH,510 Fundamentals of Cultural Anthropology,01,13604,F9.10-11.40,VMMC 204
ANTH,537 Quantitative Methods in Anthropology,01,02902,TU9.10-11.50,VMMC 102Q
ANTH,537 Quantitative Methods in Anthropology,01 Lab,02903,TH9.10-11.50,VMMC 102Q
ANTH,546 Complexity in Small Scale Societies,01,14919,M13.10-15.40,VMMC 102Q
ANTH,548 Hunters and Gatherers: Past and Present,01,15477,TH12.30-15,VMMC 202Q
ANTH,"800 Doctoral Research, Dissertation, and/or Examination",01,02523,ARRGT,ARR ARR
ASTRONOM,135 [PSCI] Astronomy,01,02542,"M,W17.45-19",GUC VAN
ASTRONOM,135 [PSCI] Astronomy,01 Lab,02543,M19.15-21.05,VSCI 101
B_A,100 Introduction to Business,01,03106,"TU,TH10.35-11.50",VUB 1
B_A,102 Exploring Careers in Business,01,12773,"W,F9.10-10.25",VMMC 16
B_A,102 Exploring Careers in Business,03,15456,"W,F9.10-10.25",VMMC 16
B_A,"211 Ethics, Teams, and Innovation",01,12776,"M,W14.50-16.05",VMMC 22
B_A,"211 Ethics, Teams, and Innovation",02,14683,ARRGT,ARR ARR
B_A,"212 Spreadsheets, Data Visualization, and Decision Analysis",01,12775,"TU,TH12-13.15",VMMC 22
B_A,"212 Spreadsheets, Data Visualization, and Decision Analysis",02,14686,ARRGT,ARR ARR
B_LAW,210 Law and the Legal Environment of Business,01,02399,"M,W16.15-17.30",VECS 105
BIOLOGY,101 [BSCI] Biology of Humans,01,02600,ARRGT,ARR ARR
BIOLOGY,301 General Genetics,01,02975,W7.45-9,VUB 100
BIOLOGY,301 General Genetics,02,02976,W9.10-10.25,VUB 100
BIOLOGY,321 [M] Principles of Animal Development,01,13156,W10.35-11.50,VSCI 19
BIOLOGY,321 [M] Principles of Animal Development,01 Lab,13157,W13.25-16.05,VSCI 101
BIOLOGY,401 [CAPS] Plants and People,01,13155,"TU,TH16.15-17.30",VSCI 19
BIOLOGY,489 [CAPS] [M] Synthesis and Communication of Independent Research,01,16453,ARRGT,ARR ARR
BIOLOGY,497 Instructional Practicum,01,02584,ARRGT,ARR ARR
BIOLOGY,499 Special Problems,01,02585,ARRGT,ARR ARR
BIOLOGY,500 Seminar,01,02842,ARRGT,ARR ARR
BIOLOGY,500 Seminar,02,02917,ARRGT,ARR ARR
BIOLOGY,501 Proposal Defense Seminar,01,02918,ARRGT,ARR ARR
BIOLOGY,"559 Hormones, Brain and Behavior",01,13671,"TU,TH13.30-14.45",VMMC 102Q
BIOLOGY,585 Professional Development and Training for College and University Teaching,01,16044,F12-13.50,AMS VAN
BIOLOGY,589 Advanced Topics in Biology,01,03233,W12.10-13,AMS VAN
BIOLOGY,"700 Master's Research, Thesis, and/or Examination",01,02580,ARRGT,ARR ARR
BIOLOGY,"800 Doctoral Research, Dissertation, and/or Examination",01,02581,ARRGT,ARR ARR
CES,314 [M] Topics in Asian Pacific American Literature,01,13429,"M,W10.35-11.50",VLIB 265
CHEM,103 Concepts in Chemistry,01,03144,ARRGT,ARR ARR
CHEM,103 Concepts in Chemistry,01 Lab,15529,ARRGT,ARR ARR
CHEM,105 [PSCI] Principles of Chemistry I,01 Lab,02685,W14.50-17.30,VCLS 50
CHEM,105 [PSCI] Principles of Chemistry I,04 Lab,02688,TH10.35-13.15,VCLS 50
CHEM,105 [PSCI] Principles of Chemistry I,05 Lab,02689,TH13.25-16.05,VCLS 50
