Prefix,Course Number,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room,Dates,Instructor
ACCTG,230,Introduction to Financial Accounting,01,17732,3,ARRGT,ARR ARR,Mar 07--May 01,N Pearson
ACCTG,230,Introduction to Financial Accounting,02,17733,3,ARRGT,ARR ARR,Mar 07--May 01,N Pearson
ACCTG,230,Introduction to Financial Accounting,03,17939,3,ARRGT,ARR ARR,Mar 07--May 01,N Pearson
ACCTG,231,Introduction to Managerial Accounting,01,17227,3,ARRGT,ARR ARR,Jan 10--Feb 27,N Pearson
ACCTG,231,Introduction to Managerial Accounting,02,17586,3,ARRGT,ARR ARR,Jan 10--Feb 27,N Pearson
ACCTG,331,Intermediate Accounting II,01,17333,3,ARRGT,ARR ARR,Jan 10--Feb 27,J Porter
ACCTG,331,Intermediate Accounting II,02,17589,3,ARRGT,ARR ARR,Jan 10--Feb 27,J Porter
ACCTG,433,[M] Accounting Systems and Auditing,01,17734,3,ARRGT,ARR ARR,Mar 07--May 01,X Gao
ACCTG,433,[M] Accounting Systems and Auditing,02,17735,3,ARRGT,ARR ARR,Mar 07--May 01,X Gao
ACCTG,433,[M] Accounting Systems and Auditing,03,17843,3,ARRGT,ARR ARR,Mar 07--May 01,X Gao
ACCTG,550,Introduction to Financial and Managerial Accounting,01,17435,3,ARRGT,ARR ARR,Mar 28--May 01,B Wong-On-Wing
ACCTG,550,Introduction to Financial and Managerial Accounting,02,17436,3,ARRGT,ARR ARR,Mar 28--May 01,B Wong-On-Wing
AFS,302,[M] Introduction to Agroecology,01,17315,3,ARRGT,ARR ARR,Jan 10--Apr 29,K Murphy
AGRI,700,"Master's Research, Thesis, and/or Examination",01,"",V,ARRGT,ARR ARR,Jan 10--Apr 29,(multiple)
AGRI,702,"Master's Special Problems, Directed Study, and/or Examination",01,17313,V,ARRGT,ARR ARR,Jan 10--Apr 29,(multiple)
AIS,320,[DIVR] Native Peoples of North America,01,17960,3,ARRGT,ARR ARR,Jan 10--Apr 29,J Mcnassar
AIS,327,[DIVR] Contemporary Native Peoples of the Americas,01,17961,3,ARRGT,ARR ARR,Jan 10--Apr 29,J Mcnassar
ANTH,203,[DIVR] Global Cultural Diversity,01,30519,3,ARRGT,ARR ARR,Jan 10--Apr 29,A Jordan
ANTH,230,Archaeological Methods and Interpretation,01,17802,3,ARRGT,ARR ARR,Jan 10--Apr 29,K Sheets
ANTH,260,[BSCI] Introduction to Biological Anthropology,01,17919,4,ARRGT,ARR ARR,Jan 10--Apr 29,A Blackwell
ANTH,260,[BSCI] Introduction to Biological Anthropology,01 Lab,17920,0,ARRGT,ARR ARR,Jan 10--Apr 29,A Blackwell
ANTH,268,"[BSCI] Sex, Evolution, and Human Nature",01,17244,3,ARRGT,ARR ARR,Jan 10--Apr 29,T Alvarez
ANTH,302,[SSCI] Childhood and Culture,01,17237,3,ARRGT,ARR ARR,Jan 10--Apr 29,C Heckelsmiller
ANTH,316,[DIVR] Gender in Cross Cultural Perspective,01,17238,3,ARRGT,ARR ARR,Jan 10--Apr 29,D Weber
ANTH,320,[DIVR] Native Peoples of North America,01,17374,3,ARRGT,ARR ARR,Jan 10--Apr 29,J Mcnassar
ANTH,327,[DIVR] Contemporary Native Peoples of the Americas,01,17659,3,ARRGT,ARR ARR,Jan 10--Apr 29,J Mcnassar
ANTH,336,Old World Civilizations,01,18171,3,ARRGT,ARR ARR,Jan 10--Apr 29,M Sugerman
ANTH,350,"[DIVR] Speech, Thought, and Culture",01,18182,3,ARRGT,ARR ARR,Jan 10--Apr 29,C Anderson
ANTH,404,[CAPS] The Self in Culture,01,17240,3,ARRGT,ARR ARR,Jan 10--Apr 29,J Mageo
ANTH,405,Medical Anthropology,01,17658,3,ARRGT,ARR ARR,Jan 10--Apr 29,A Thiel
ANTH,418,Human Issues in International Development,01,17241,3,ARRGT,ARR ARR,Jan 10--Apr 29,R Quinlan
ANTH,490,[CAPS] [M] Integrative Themes in Anthropology,01,"",3,ARRGT,ARR ARR,Jan 10--Apr 29,J Mcnassar
B_A,100,Introduction to Business,01,17854,3,ARRGT,ARR ARR,Mar 07--May 01,C Cooney
B_A,100,Introduction to Business,02,18016,3,ARRGT,ARR ARR,Mar 07--May 01,C Cooney
B_A,102,Exploring Careers in Business,01,17853,1,ARRGT,ARR ARR,Jan 10--Feb 27,S Billington
B_A,102,Exploring Careers in Business,02,18274,1,ARRGT,ARR ARR,Jan 10--Feb 27,S Billington
B_A,211,"Ethics, Teams, and Innovation",01,18018,3,ARRGT,ARR ARR,Mar 07--May 01,N Yaws-Gonzalez
B_A,211,"Ethics, Teams, and Innovation",02,18165,3,ARRGT,ARR ARR,Mar 07--May 01,N Yaws-Gonzalez
