Prefix,Course Number,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room,Dates,Instructor
B_A,100,Introduction to Business,01,07041,3,W13-16,EVRT 255,May 10--Jun 18,M Beattie
B_A,102,Exploring Careers in Business,01,07043,1,W14.30-16,"",Jun 21--Jul 30,A Mcleod
COM,210,[COMM] Multimedia Content Creation,01,08398,3,"M,TU,W,TH,F9.10-10.25",WEB ARR,May 10--Jul 30,C Wilder
CPT_S,121,Program Design and Development C/C++,01,08395,4,"M,TU,W,TH,F10.55-11.45",WEB ARR,Jun 07--Jul 30,B Zeng
CPT_S,121,Program Design and Development C/C++,01 Lab,08396,0,"TU,TH12-14.40",WEB ARR,Jun 07--Jul 30,B Zeng
CPT_S,488,Professional Practice Coop/Internship I,01,"",V,ARRGT,ARR ARR,May 10--Jul 30,S Brabb
E_E,261,Electrical Circuits I,01,08406,3,"M,TU,W,TH13.30-14.45",WEB ARR,Jun 28--Aug 15,J Murray
E_E,262,Electrical Circuits Laboratory I,01,08407,1,"TU,TH15-17.50","",Jun 28--Aug 15,J Murray
E_E,488,Professional Practice Coop/Internship I,01,"",V,ARRGT,ARR ARR,May 10--Jul 30,S Brabb
HBM,101,Professional and Career Development for the Business World,01,07042,1,W13-14.15,"",Jun 21--Jul 30,A Mcleod
MATH,440,Applied Mathematics I: PDEs,01,07044,3,"M,TU,W,TH12-13.15",WEB ARR,Jun 21--Jul 30,S Lapin
MATH,448,Numerical Analysis,01,07032,3,"M,TU,W,TH,F10.10-11.25",WEB ARR,May 10--Jun 18,S Lapin
MATH,540,Applied Mathematics I: PDEs,01,08488,3,"M,TU,W,TH12-13.15","",Jun 21--Jul 30,S Lapin
MATH,548,Numerical Analysis,01,08524,3,"M,TU,W,TH10.10-11.25","",May 10--Jun 18,S Lapin
ME,488,Professional Practice Coop/Internship I,01,"",V,ARRGT,ARR ARR,May 10--Jul 30,S Brabb
MED_CLIN,521,Longitudinal Integrated Clerkship I,01,"",8,ARRGT,ARR ARR,Jun 28--Aug 20,J Bowman
MED_CLIN,530,Virtual - Clinical Cases,01,"",2,ARRGT,ARR ARR,Jun 28--Aug 20,D Dewitt
MED_CLIN,530,Virtual - Clinical Cases,02,"",2,ARRGT,ARR ARR,Jun 28--Aug 20,D Dewitt
MED_CLIN,531,Family Medicine - Subinternship,01,"",4,ARRGT,ARR ARR,Jun 28--Aug 20,J Haney
MED_CLIN,532,Internal Medicine - Subinternship,01,"",4,ARRGT,ARR ARR,Jun 28--Aug 20,L Sood
MED_CLIN,533,Surgery - Subinternship,01,"",4,ARRGT,ARR ARR,Jun 28--Aug 20,A Kumar
