Prefix,Course Number,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room,Dates,Instructor
ACCTG,220,Introductory Accounting for Non-Business Majors,01,10408,3,"M,W,F14.10-15",TODD 130,Aug 22--Dec 09,R Barnes
ACCTG,230,Introduction to Financial Accounting,01,10409,3,"M,W,F8.10-9",CUE 219,Aug 22--Dec 09,R Barnes
ACCTG,230,Introduction to Financial Accounting,02,10410,3,"M,W,F9.10-10",COLL 220,Aug 22--Dec 09,R Barnes
ACCTG,230,Introduction to Financial Accounting,03,04835,3,"M,W,F10.10-11",TODD 216,Aug 22--Dec 09,R Barnes
ACCTG,230,Introduction to Financial Accounting,04,04834,3,"M,W,F13.10-14",TODD 216,Aug 22--Dec 09,""
ACCTG,230,Introduction to Financial Accounting,05,04833,3,"M,W,F14.10-15",TODD 216,Aug 22--Dec 09,N Pearson
ACCTG,230,Introduction to Financial Accounting,06,04836,3,"M,W,F15.10-16",SPRK 227,Aug 22--Dec 09,N Pearson
ACCTG,231,Introduction to Managerial Accounting,01,04837,3,"M,W,F8.10-9",TDAD 276,Aug 22--Dec 09,S Gill
ACCTG,231,Introduction to Managerial Accounting,02,04838,3,"M,W,F10.10-11",TODD 311,Aug 22--Dec 09,S Gill
ACCTG,231,Introduction to Managerial Accounting,03,07589,3,"M,W,F14.10-15",CUE 319,Aug 22--Dec 09,C Potter
ACCTG,231,Introduction to Managerial Accounting,04,07940,3,"M,W,F11.10-12",CUE 219,Aug 22--Dec 09,C Potter
ACCTG,330,Intermediate Accounting I,01,04839,3,"TU,TH9.10-10.25",TODD 411,Aug 22--Dec 09,J Jaggi
ACCTG,330,Intermediate Accounting I,02,04840,3,"TU,TH12.05-13.20",TODD 411,Aug 22--Dec 09,J Jaggi
ACCTG,330,Intermediate Accounting I,03,06613,3,"TU,TH14.55-16.10",TODD 411,Aug 22--Dec 09,J Porter
ACCTG,331,Intermediate Accounting II,01,04841,3,"TU,TH14.55-16.10",CUE 119,Aug 22--Dec 09,J Gramlich
ACCTG,335,Taxation of Business Entities and Individuals,02,04843,3,"M,W,F11.10-12",TODD 220,Aug 22--Dec 09,R Toolson
ACCTG,338,Cost Accounting,01,04844,3,"TU,TH12.05-13.20",CUE 119,Aug 22--Dec 09,B Barnes
