Prefix,Course Number,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room,Dates,Instructor
COM,562,Crisis Communication in Global Contexts,01,13912,3,ARRGT,ARR ARR,Aug 22--Dec 09,Y Lee
COMHLTH,571,Communicating Health in Practice,01,"",3,ARRGT,ARR ARR,Aug 22--Dec 09,W Cao
COMHLTH,572,Communicating Health to Specialized Populations,01,14285,3,ARRGT,ARR ARR,Aug 22--Dec 09,N O'donnell
ED_AD,501,Philosophy of Education,01,"",3,W17.45-20.30,VC ARR,Aug 22--Dec 09,S Finley
ED_AD,507,Social Foundations of Education,01,14148,3,ARRGT,ARR ARR,Aug 22--Dec 09,T Watson
ED_AD,509,Leading School Improvement,01,14461,3,M17.45-20.30,VC ARR,Aug 22--Dec 09,N Mccann
ED_AD,512,Leadership Studies for Social Justice,01,14149,3,M17.45-20.30,VC ARR,Aug 22--Dec 09,C Woods
ED_AD,521,Topics in Education,02,14150,3,TH17.45-20.30,VC ARR,Aug 22--Dec 09,S Calderone
ED_AD,580,School Organization and Administration,01,14152,3,TU17.45-20.30,VC ARR,Aug 22--Dec 09,J Walls
ED_AD,581,Politics in Education,01,14153,3,ARRGT,ARR ARR,Aug 22--Dec 09,G Hill
ED_AD,587,Seminar in School Administration,01,14154,3,ARRGT,ARR ARR,Aug 22--Dec 09,G Hill
ED_AD,589,Leadership Development Seminar,01,13963,3,W17.45-20.30,VC ARR,Aug 22--Dec 09,K Cowin
ED_AD,590,Internship,01,14162,V,ARRGT,ARR ARR,Aug 22--Dec 09,R Mcbride
ED_AD,590,Internship,02,14163,3,ARRGT,ARR ARR,Aug 22--Dec 09,G Hill
ED_AD,600,Special Projects or Independent Study,01,14160,3,ARRGT,ARR ARR,Aug 22--Dec 09,G Hill
ED_AD,800,"Doctoral Research, Dissertation, and/or Examination",01,14155,V,ARRGT,ARR ARR,Aug 22--Dec 09,J Walls
ED_MTHSC,598,Research Seminar in Mathematics and Science Education,01,14168,1,W16.30-17.30,SAC 341,Aug 22--Dec 09,A Cavagnetto
ED_MTHSC,800,"Doctoral Research, Dissertation, and/or Examination",01,14328,V,ARRGT,ARR ARR,Aug 22--Dec 09,(multiple)
ED_PSYCH,502,Theoretical Foundations of Learning and Instruction,01,14166,3,W12.10-15,VC ARR,Aug 22--Dec 09,R Danielson
ED_PSYCH,505,Research Methods I,01,14165,3,M16.10-19,SAC 249,Aug 22--Dec 09,M Guo
ED_PSYCH,508,Educational Statistics,01,14167,3,TU17.45-20.30,VC ARR,Aug 22--Dec 09,C Gotch
