Prefix,Course Number,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room,Dates,Instructor
AIS,320,[DIVR] Native Peoples of North America,01,04501,3,"M,TU,W,TH12.45-14.20",WEB ARR,May 10--Jun 18,M Mansperger
ANTH,305,[SSCI] Anthropology of Epidemic Disease and Bioterrorism,01,07861,3,"M,TU,W,TH11-12.35",WEB ARR,Jun 21--Jul 30,M Mansperger
ANTH,320,[DIVR] Native Peoples of North America,01,04252,3,"M,TU,W,TH12.45-14.20",WEB ARR,May 10--Jun 18,M Mansperger
ANTH,498,Anthropology Internship,01,"",V,ARRGT,ARR ARR,May 10--Jul 30,M Mansperger
ASIA,387,World War II in Asia and the Pacific,01,04406,3,"M,W14.30-17.50",WEB ARR,Jun 21--Jul 30,B Farley
B_A,102,Exploring Careers in Business,01,07870,1,"M,W7.30-8.20",WEB ARR,May 10--Jun 25,R Keefer
BIOLOGY,495,"Internship in Biology, Botany, and Zoology",01,"",V,ARRGT,ARR ARR,May 10--Jul 30,(multiple)
BIOLOGY,499,Special Problems,01,"",V,ARRGT,ARR ARR,May 10--Jul 30,(multiple)
BIOLOGY,700,"Master's Research, Thesis, and/or Examination",01,01046,V,ARRGT,ARR ARR,May 10--Jul 30,(multiple)
BIOLOGY,702,"Master's Special Problems, Directed Study and/or Examination",01,01047,V,ARRGT,ARR ARR,May 10--Jul 30,(multiple)
BIOLOGY,800,"Doctoral Research, Dissertation, and/or Examination",01,01074,V,ARRGT,ARR ARR,May 10--Jul 30,A Felsot
BSYSE,600,Special Projects or Independent Study,01,01091,V,ARRGT,ARR ARR,May 10--Jul 30,""
BSYSE,700,"Master's Research, Thesis, and/or Examination",01,01017,V,ARRGT,ARR ARR,May 10--Jul 30,(multiple)
BSYSE,702,"Master's Special Problems, Directed Study and/or Examination",01,01018,V,ARRGT,ARR ARR,May 10--Jul 30,""
BSYSE,800,"Doctoral Research, Dissertation, and/or Examination",01,01019,V,ARRGT,ARR ARR,May 10--Jul 30,(multiple)
CE,211,Statics,01,04223,3,"M,W,F9.55-12.10",WEB ARR,May 10--Jun 18,M Mortuza
CE,215,Mechanics of Materials,01,04121,3,"M,W7.30-10.50",WEB ARR,Jun 21--Jul 30,M Mortuza
CE,495,Engineering Experience,01,"",V,ARRGT,ARR ARR,May 10--Jul 30,(multiple)
CE,499,Special Problems,01,"",V,ARRGT,ARR ARR,May 10--Jul 30,(multiple)
CE,600,Special Projects or Independent Study,01,01002,V,ARRGT,ARR ARR,May 10--Jul 30,(multiple)
CE,700,"Master's Research, Thesis and/or Examination",01,01003,V,ARRGT,ARR ARR,May 10--Jul 30,(multiple)
CE,702,"Master's Special Problems, Directed Study, and/or Examination",01,01004,V,ARRGT,ARR ARR,May 10--Jul 30,(multiple)
CE,800,"Doctoral Research, Dissertation, and/or Examination",01,01005,V,ARRGT,ARR ARR,May 10--Jul 30,(multiple)
CHE,700,"Master's Research, Thesis, and/or Examination",01,01020,V,ARRGT,ARR ARR,May 10--Jul 30,""
CHE,702,"Master's Special Problems, Directed Study, and/or Examination",01,01021,V,ARRGT,ARR ARR,May 10--Jul 30,""
CHE,800,"Doctoral Research, Dissertation, and/or Examination",01,01022,V,ARRGT,ARR ARR,May 10--Jul 30,Z Dohnalek
CHEM,102,Chemistry Related to Life Sciences,02,08582,4,"M,TU,W,TH,F10-10.50",WEB ARR,Jun 28--Aug 15,D Storfer
CHEM,102,Chemistry Related to Life Sciences,02 Lab,08583,0,"TU,TH12-12.50",WEB ARR,Jun 28--Aug 15,D Storfer
CHEM,345,Organic Chemistry I,01,06018,4,"M,TU,W,TH12.45-13.55",WEB ARR,Jun 07--Jul 30,N Devarie Baez
CHEM,345,Organic Chemistry I,01 Lab,06024,0,"M,W15-17.30",WEB ARR,Jun 07--Jul 30,N Devarie Baez
