Prefix,Course Number,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room,Dates,Instructor
ACCTG,230,Introduction to Financial Accounting,01,12382,3,"M,W12.05-13.20",GUC VAN,Aug 23--Dec 10,L Clute
ACCTG,230,Introduction to Financial Accounting,02,12409,3,"TU,TH12.05-13.20",GUC VAN,Aug 23--Dec 10,L Clute
ACCTG,231,Introduction to Managerial Accounting,01,12398,3,"TU,TH17.45-19",GUC VAN,Aug 23--Dec 10,L Clute
ACCTG,330,Intermediate Accounting I,01,12399,3,"TU,TH12.05-13.20",WEB ARR,Aug 23--Dec 10,C Latham
ACCTG,330,Intermediate Accounting I,02,13473,3,"TU,TH12.05-13.20",WEB ARR,Aug 23--Dec 10,C Latham
ACCTG,331,Intermediate Accounting II,01,12383,3,"TU,TH12.05-13.20",GUC VAN,Aug 23--Dec 10,L Xu
ACCTG,335,Taxation of Business Entities and Individuals,01,12384,3,"TU,TH19.15-20.30",WEB ARR,Aug 23--Dec 10,""
ACCTG,433,[M] Accounting Systems and Auditing,01,12385,3,"TU,TH9.10-10.25",WEB ARR,Aug 23--Dec 10,C Latham
ACCTG,438,[M] Advanced Cost Accounting and Management,01,12421,3,"TU,TH17.45-19",GUC VAN,Aug 23--Dec 10,L Xu
ANTH,101,[DIVR] Introduction to Anthropology,01,12500,3,"M,W9.10-10",WEB ARR,Aug 23--Dec 10,N Hess
ANTH,130,[SSCI] Great Discoveries in Archaeology,01,13255,3,ARRGT,ARR ARR,Aug 23--Dec 10,""
ANTH,203,[DIVR] Global Cultural Diversity,01,12501,3,W11-11.30,WEB ARR,Aug 23--Dec 10,K Dhawan
ANTH,268,"[BSCI] Sex, Evolution, and Human Nature",01,12503,3,"TU,TH12.05-13.20",GUC VAN,Aug 23--Dec 10,E Hagen
ANTH,305,[SSCI] Anthropology of Epidemic Disease and Bioterrorism,01,12893,3,ARRGT,ARR ARR,Aug 23--Dec 10,B Hewlett
ANTH,307,[DIVR] Contemporary Cultures and Peoples of Africa,01,12816,3,ARRGT,ARR ARR,Aug 23--Dec 10,B Hewlett
ANTH,309,[SSCI] Cultural Ecology,01,13242,3,ARRGT,ARR ARR,Aug 23--Dec 10,B Hewlett
ANTH,334,Time and Culture in the Northwest,01,13243,3,"TU,TH10.35-11.50",GUC VAN,Aug 23--Dec 10,C Grier
ANTH,381,[BSCI] Primate Behavioral Ecology,01,12817,3,ARRGT,ARR ARR,Aug 23--Dec 10,N Hess
ANTH,390,[M] History of Anthropological Thought,01,13049,3,"TU,TH14.55-16.10",GUC VAN,Aug 23--Dec 10,J Fancher
ANTH,530,Theory in Archaeology,01,17565,3,M13.10-15.40,VC VAN,Aug 23--Dec 10,C Grier
ANTH,800,"Doctoral Research, Dissertation, and/or Examination",01,12506,V,ARRGT,ARR ARR,Aug 23--Dec 10,(multiple)
ASTRONOM,135,[PSCI] Astronomy,01,12524,4,"M,W17.45-19",GUC VAN,Aug 23--Dec 10,J Vazquez-Bello
ASTRONOM,135,[PSCI] Astronomy,01 Lab,12525,0,M19.15-21.05,VSCI 101,Aug 23--Dec 10,""
B_A,100,Introduction to Business,01,13067,3,"TU,TH14.55-16.10",WEB ARR,Aug 23--Dec 10,J Sandstrom
B_A,102,Exploring Careers in Business,01,13220,1,"W,F9.10-10.25",GUC VAN,Aug 23--Sep 24,R Worthy
B_A,102,Exploring Careers in Business,02,15492,1,"W,F9.10-10.25",GUC VAN,Sep 27--Oct 29,R Worthy
B_A,211,"Ethics, Teams, and Innovation",01,13222,3,"M,W13.30-14.45",VC VAN,Aug 23--Dec 10,R Saylors
B_A,211,"Ethics, Teams, and Innovation",02,13753,3,"M,W14.55-16.10",WEB ARR,Aug 23--Dec 10,B Warnick
B_A,211,"Ethics, Teams, and Innovation",03,"",3,ARRGT,ARR ARR,Oct 18--Dec 12,N Yaws-Gonzalez
B_A,212,"Spreadsheets, Data Visualization, and Decision Analysis",01,13221,3,"TU,TH16.20-17.35",WEB ARR,Aug 23--Dec 10,Y He
B_A,212,"Spreadsheets, Data Visualization, and Decision Analysis",02,"",3,ARRGT,ARR ARR,Aug 23--Oct 10,Y He
B_LAW,210,Law and the Legal Environment of Business,01,12386,3,"M,W16.20-17.35",WEB ARR,Aug 23--Dec 10,""
BIOLOGY,101,[BSCI] Biology of Humans,01,12581,3,F13.30-14.20,WEB ARR,Aug 23--Dec 10,W Cushwa
BIOLOGY,102,[BSCI] General Biology,01,12641,4,"TU,TH12.05-13.20",WEB ARR,Aug 23--Dec 10,K Turner
BIOLOGY,102,[BSCI] General Biology,01 Lab,12642,0,F7.45-10.25,VSCI 101,Aug 23--Dec 10,""
BIOLOGY,102,[BSCI] General Biology,02 Lab,12643,0,F13.30-16.10,VSCI 101,Aug 23--Dec 10,""
BIOLOGY,102,[BSCI] General Biology,03 Lab,12644,0,F10.35-13.15,VSCI 101,Aug 23--Dec 10,""
BIOLOGY,106,[BSCI] Introductory Biology: Organismal Biology,01,12645,4,"TU,TH10.35-11.50",WEB ARR,Aug 23--Dec 10,K Turner
BIOLOGY,106,[BSCI] Introductory Biology: Organismal Biology,02,17645,4,"TU,TH13.30-14.45",WEB ARR,Aug 23--Dec 10,K Turner
BIOLOGY,106,[BSCI] Introductory Biology: Organismal Biology,01 Lab,12646,0,TU7.45-10.25,VSCI 109,Aug 23--Dec 10,""
BIOLOGY,106,[BSCI] Introductory Biology: Organismal Biology,02 Lab,12647,0,TU12.05-14.45,VSCI 109,Aug 23--Dec 10,""
BIOLOGY,106,[BSCI] Introductory Biology: Organismal Biology,03 Lab,12648,0,TU14.55-17.35,VSCI 109,Aug 23--Dec 10,""
BIOLOGY,106,[BSCI] Introductory Biology: Organismal Biology,04 Lab,12649,0,TU17.45-20.25,VSCI 109,Aug 23--Dec 10,""
