Prefix,Course Number,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room,Dates,Instructor
ACCTG,230,Introduction to Financial Accounting,01,25899,3,"TU,TH16.20-17.35",VMMC 1,Jan 10--Apr 29,R Boyer
ACCTG,231,Introduction to Managerial Accounting,01,25872,3,"M,W12.05-13.20",VUB 121,Jan 10--Apr 29,R Boyer
ACCTG,231,Introduction to Managerial Accounting,02,25911,3,"TU,TH13.30-14.45",VMMC 217,Jan 10--Apr 29,R Boyer
ACCTG,330,Intermediate Accounting I,01,25873,3,"TU,TH10.35-11.50",WEB ARR,Jan 10--Apr 29,C Latham
ACCTG,331,Intermediate Accounting II,01,25874,3,"TU,TH10.35-11.50",VMMC 16,Jan 10--Apr 29,L Xu
ACCTG,338,Cost Accounting,01,25875,3,"TU,TH16.20-17.35",VMMC 16,Jan 10--Apr 29,L Xu
ACCTG,439,[M] Auditing,01,25906,3,"TU,TH13.30-14.45",WEB ARR,Jan 10--Apr 29,C Latham
ACCTG,496,Special Topics,01,31023,3,"TU,TH17.45-19",WEB ARR,Jan 10--Apr 29,C Latham
ACCTG,496,Special Topics,02,"",3,"TU,TH17.45-19",WEB ARR,Jan 10--Apr 29,C Latham
ACCTG,498,Accounting Internship,01,"",V,ARRGT,ARR ARR,Jan 10--Apr 29,C Latham
AERO,102,Heritage and Values II,01,30059,1,TU10-11.30,ARR ARR,Jan 10--Apr 29,""
AERO,102,Heritage and Values II,02,30060,1,TU14-15.30,ARR ARR,Jan 10--Apr 29,""
AERO,103,Leadership Laboratory I,01,30061,2,TU16.10-18.10,ARR ARR,Jan 10--Apr 29,""
AERO,202,Team and Leadership Fundamentals II,01,30062,1,TU8-9.30,ARR ARR,Jan 10--Apr 29,""
AERO,202,Team and Leadership Fundamentals II,02,30063,1,TU12-13.30,ARR ARR,Jan 10--Apr 29,""
AERO,203,Leadership Laboratory II,01,30064,2,TU16.10-18.10,ARR ARR,Jan 10--Apr 29,""
AERO,312,Leading People and Effective Communication II,01,30065,3,TH13.30-16.30,ARR ARR,Jan 10--Apr 29,""
AERO,313,Leadership Laboratory III,01,30066,2,TU16.10-18.10,ARR ARR,Jan 10--Apr 29,""
AERO,412,"National Security, Leadership, and Commissioning Preparation II",01,30067,3,TU8-11,ARR ARR,Jan 10--Apr 29,""
AERO,412,"National Security, Leadership, and Commissioning Preparation II",02,30068,3,TH8-11,ARR ARR,Jan 10--Apr 29,""
AERO,413,Leadership Laboratory IV,01,30069,2,TU16.10-18.10,ARR ARR,Jan 10--Apr 29,""
ANTH,101,[DIVR] Introduction to Anthropology,01,26097,3,"M,W9.10-10.10",VLIB 201,Jan 10--Apr 29,N Hess
